Дата,Сотрудник,Частота сообщения,Объем сообщения,Настрой сообщения,Регулярность коммитов,Интенсивность коммитов,Статус задачи,Приоритетные изменения,Продолжительность активности,Активность ночью
2023-10-03,Вася,67,19,1,4,3,1,1,8,0
2023-10-04,Вася,58,16,1,4,2,0,2,7,0
2023-10-05,Вася,58,27,1,2,5,0,2,7,0
2023-10-06,Вася,68,14,1,1,1,0,0,7,0
2023-10-07,Вася,70,18,0,4,7,1,1,10,0
2023-10-08,Вася,74,20,0,2,1,1,2,9,0
2023-10-09,Вася,75,28,-1,1,1,1,1,4,0
2023-10-10,Вася,51,10,1,2,1,0,2,8,0
2023-10-11,Вася,60,29,0,1,1,1,0,1,0
2023-10-12,Вася,50,13,-1,2,1,1,0,7,0
2023-10-13,Вася,56,23,-1,4,4,1,1,8,1
2023-10-14,Вася,79,13,1,1,1,1,0,5,0
2023-10-15,Вася,58,10,0,3,2,-1,2,8,0
2023-10-16,Вася,62,12,1,1,1,1,1,7,0
2023-10-17,Вася,69,22,0,1,2,1,2,7,0
2023-10-18,Вася,71,10,1,3,2,1,0,4,0
2023-10-19,Вася,51,17,1,2,1,1,0,8,0
2023-10-20,Вася,67,12,0,2,1,1,0,3,0
2023-10-21,Вася,77,14,1,2,3,-1,2,7,0
2023-10-22,Вася,76,25,1,4,6,-1,0,7,0
2023-10-23,Вася,61,20,1,1,4,0,2,6,0
2023-10-24,Вася,59,17,1,2,4,-1,0,13,0
2023-10-25,Вася,54,19,1,2,2,1,2,12,0
2023-10-26,Вася,61,10,1,3,1,1,0,8,0
2023-10-27,Вася,66,27,1,3,1,1,2,6,0
2023-10-28,Вася,78,16,1,4,3,1,0,3,0
2023-10-29,Вася,67,18,0,2,1,1,1,9,0
2023-10-30,Вася,74,20,1,1,1,1,1,8,0
2023-10-31,Вася,71,18,1,1,1,-1,0,6,0
2023-11-01,Вася,76,11,1,3,4,0,1,7,1
2023-11-02,Вася,62,19,1,1,3,0,1,9,0
2023-11-03,Вася,71,17,0,3,1,1,1,6,0
2023-11-04,Вася,73,26,-1,4,5,1,0,5,0
2023-11-05,Вася,58,16,1,4,4,1,2,6,0
2023-11-06,Вася,78,20,1,3,6,1,0,6,0
2023-11-07,Вася,69,23,0,4,3,1,1,6,0
2023-11-08,Вася,73,27,1,3,4,1,1,9,0
2023-11-09,Вася,76,25,1,1,1,1,1,5,0
2023-11-10,Вася,60,24,1,2,3,1,1,8,0
2023-11-11,Вася,54,15,0,4,8,1,0,8,0
2023-11-12,Вася,69,26,1,2,1,1,2,5,0
2023-11-13,Вася,52,20,-1,1,2,1,2,8,0
2023-11-14,Вася,68,26,1,4,2,1,2,4,1
2023-11-15,Вася,66,15,1,3,2,1,0,8,0
2023-11-16,Вася,69,20,0,4,5,1,2,10,1
2023-11-17,Вася,61,18,1,3,2,1,2,5,0
2023-11-18,Вася,57,21,1,4,1,-1,2,7,0
2023-11-19,Вася,70,19,1,4,1,1,0,7,0
2023-11-20,Вася,52,15,-1,4,4,1,2,10,0
2023-11-21,Вася,77,12,1,3,2,1,0,6,0
2023-11-22,Вася,58,14,-1,2,4,1,1,9,0
2023-11-23,Вася,56,27,1,4,3,1,1,9,1
2023-11-24,Вася,57,14,1,2,1,0,0,5,0
2023-11-25,Вася,76,13,1,3,5,0,0,8,0
2023-11-26,Вася,52,15,1,2,2,0,1,9,0
2023-11-27,Вася,59,13,1,1,1,0,2,8,0
2023-11-28,Вася,78,25,1,1,1,1,2,9,0
2023-11-29,Вася,77,28,1,4,2,0,1,6,0
2023-11-30,Вася,71,10,1,3,4,0,0,6,0
2023-12-01,Вася,77,22,0,4,4,0,0,13,0
2023-12-02,Вася,58,25,1,2,3,-1,0,9,0
2023-12-03,Вася,57,12,1,3,1,1,1,4,0
2023-12-04,Вася,67,20,0,4,5,1,2,8,0
2023-12-05,Вася,65,16,1,4,3,1,0,11,0
2023-12-06,Вася,61,12,0,1,1,1,2,9,0
2023-12-07,Вася,71,21,1,3,1,0,1,12,0
2023-12-08,Вася,73,19,1,1,2,1,0,7,0
2023-12-09,Вася,53,22,1,4,7,1,0,5,0
2023-12-10,Вася,58,14,1,1,2,1,0,4,0
2023-12-11,Вася,74,24,0,3,3,1,2,9,1
2023-12-12,Вася,54,26,-1,3,2,1,0,6,0
2023-12-13,Вася,75,21,0,2,1,1,1,8,0
2023-12-14,Вася,57,10,1,1,2,1,0,6,0
2023-12-15,Вася,53,23,1,2,1,1,0,9,0
2023-12-16,Вася,50,25,1,1,1,0,2,7,0
2023-12-17,Вася,56,15,1,3,2,-1,0,7,0
2023-12-18,Вася,67,17,0,1,1,1,1,5,0
2023-12-19,Вася,57,24,1,2,1,1,2,6,1
2023-12-20,Вася,62,27,1,4,3,1,2,4,0
2023-12-21,Вася,57,16,1,1,3,1,1,7,0
2023-12-22,Вася,59,25,1,1,1,1,1,12,0
2023-12-23,Вася,67,12,1,1,1,1,2,10,0
2023-12-24,Вася,67,17,1,2,2,1,2,8,0
2023-12-25,Вася,74,22,-1,1,4,1,2,6,0
2023-12-26,Вася,55,11,1,2,1,-1,2,4,1
2023-12-27,Вася,60,27,0,3,5,1,0,8,0
2023-12-28,Вася,73,22,0,1,1,-1,0,13,1
2023-12-29,Вася,59,20,1,4,1,-1,1,5,0
2023-12-30,Вася,66,20,1,4,4,1,0,9,0
2023-12-31,Вася,65,17,1,2,3,0,0,10,0
2023-01-01,Андрей,52,16,0,1,3,1,2,5,0
2023-01-02,Андрей,72,18,1,3,5,1,1,9,0
2023-01-03,Андрей,55,11,1,4,1,0,2,10,0
2023-01-04,Андрей,58,25,0,2,1,1,1,7,0
2023-01-05,Андрей,65,17,1,2,1,1,0,3,0
2023-01-06,Андрей,68,28,0,1,1,1,0,5,1
2023-01-07,Андрей,76,28,1,1,1,1,2,6,0
2023-01-08,Андрей,64,18,1,4,5,1,2,8,0
2023-01-09,Андрей,54,12,0,4,7,1,2,7,0
2023-01-10,Андрей,53,15,1,3,3,0,0,6,0
2023-01-11,Андрей,74,12,0,2,4,1,2,8,0
2023-01-12,Андрей,50,26,1,1,1,1,2,9,0
2023-01-13,Андрей,77,26,0,3,5,1,2,6,0
2023-01-14,Андрей,75,22,0,4,1,0,1,8,0
2023-01-15,Андрей,62,12,1,2,1,1,1,3,0
2023-01-16,Андрей,75,13,1,4,5,1,0,7,0
2023-01-17,Андрей,71,18,1,4,7,1,0,6,1
2023-01-18,Андрей,75,22,1,4,1,1,1,7,0
2023-01-19,Андрей,64,12,1,1,1,1,2,7,0
2023-01-20,Андрей,68,22,1,3,1,1,0,8,0
2023-01-21,Андрей,67,24,1,4,3,1,2,11,1
2023-01-22,Андрей,53,16,1,4,4,0,2,8,0
2023-01-23,Андрей,51,15,-1,2,2,1,1,3,1
2023-01-24,Андрей,79,13,1,3,4,1,1,8,0
2023-01-25,Андрей,77,10,1,2,1,1,0,10,0
2023-01-26,Андрей,70,12,1,4,1,1,0,8,0
2023-01-27,Андрей,70,28,-1,3,3,1,1,5,0
2023-01-28,Андрей,50,12,1,3,3,0,2,6,0
2023-01-29,Андрей,51,24,1,4,6,1,2,7,0
2023-01-30,Андрей,51,24,1,2,1,1,1,9,0
2023-01-31,Андрей,50,17,1,1,1,0,0,2,1
2023-02-01,Андрей,69,29,-1,1,1,1,2,9,0
2023-02-02,Андрей,57,27,1,4,2,1,2,9,0
2023-02-03,Андрей,72,16,-1,2,1,0,0,5,0
2023-02-04,Андрей,62,18,1,3,3,0,1,7,0
2023-02-05,Андрей,70,15,1,2,1,0,2,5,1
2023-02-06,Андрей,58,20,1,3,2,1,0,8,0
2023-02-07,Андрей,56,17,1,2,1,1,1,6,0
2023-02-08,Андрей,70,12,0,1,1,1,2,6,1
2023-02-09,Андрей,54,28,0,3,3,1,2,5,0
2023-02-10,Андрей,73,28,0,1,2,0,2,8,0
2023-02-11,Андрей,50,13,1,4,3,1,1,5,0
2023-02-12,Андрей,56,28,1,3,3,1,1,8,0
2023-02-13,Андрей,72,29,1,4,4,1,2,7,0
2023-02-14,Андрей,74,13,1,4,1,1,1,7,0
2023-02-15,Андрей,54,21,0,2,1,1,2,10,0
2023-02-16,Андрей,76,15,1,1,1,1,2,6,0
2023-02-17,Андрей,67,24,1,2,3,1,2,4,0
2023-02-18,Андрей,53,13,1,4,1,0,0,8,0
2023-02-19,Андрей,55,22,1,3,3,0,1,9,0
2023-02-20,Андрей,54,21,1,3,5,0,2,5,0
2023-02-21,Андрей,50,16,1,2,3,1,2,6,0
2023-02-22,Андрей,70,22,0,3,8,-1,0,5,0
2023-02-23,Андрей,63,13,0,2,1,1,0,8,0
2023-02-24,Андрей,67,17,1,2,4,-1,0,11,0
2023-02-25,Андрей,55,27,1,3,5,1,0,7,0
2023-02-26,Андрей,52,20,1,1,1,1,0,4,0
2023-02-27,Андрей,61,14,1,2,1,0,0,7,0
2023-02-28,Андрей,70,23,1,3,6,0,0,10,0
2023-03-01,Андрей,59,19,1,4,2,1,0,7,0
2023-03-02,Андрей,64,22,1,2,3,-1,2,6,0
2023-03-03,Андрей,70,19,1,2,1,0,1,6,0
2023-03-04,Андрей,71,20,1,4,3,1,1,7,0
2023-03-05,Андрей,69,18,1,3,5,1,1,6,0
2023-03-06,Андрей,60,27,1,2,1,-1,1,4,0
2023-03-07,Андрей,64,14,0,1,4,1,2,8,0
2023-03-08,Андрей,55,20,0,4,4,0,1,10,0
2023-03-09,Андрей,75,26,1,3,5,-1,0,9,0
2023-03-10,Андрей,55,23,1,1,1,1,2,8,0
2023-03-11,Андрей,72,16,1,3,4,1,0,8,0
2023-03-12,Андрей,77,28,1,4,6,1,1,8,0
2023-03-13,Андрей,63,10,1,2,3,0,2,7,0
2023-03-14,Андрей,68,15,1,2,2,1,2,8,0
2023-03-15,Андрей,63,13,1,3,3,1,1,10,0
2023-03-16,Андрей,64,26,1,3,1,1,2,8,0
2023-03-17,Андрей,70,23,1,4,4,1,1,7,0
2023-03-18,Андрей,58,22,-1,2,3,1,0,6,0
2023-03-19,Андрей,79,15,1,2,4,1,2,11,0
2023-03-20,Андрей,73,21,0,4,2,-1,1,5,0
2023-03-21,Андрей,58,29,1,3,1,1,2,8,0
2023-03-22,Андрей,58,27,1,3,2,0,2,8,0
2023-03-23,Андрей,74,26,1,2,4,1,1,8,0
2023-03-24,Андрей,74,28,1,4,4,1,1,6,0
2023-03-25,Андрей,66,11,1,4,3,1,2,10,0
2023-03-26,Андрей,61,27,1,2,1,1,0,8,0
2023-03-27,Андрей,57,10,1,1,1,1,1,6,0
2023-03-28,Андрей,60,17,1,4,4,1,1,10,0
2023-03-29,Андрей,69,20,1,1,1,0,1,7,0
2023-03-30,Андрей,65,25,1,4,1,1,0,10,0
2023-03-31,Андрей,78,15,1,2,3,1,2,7,0
2023-04-01,Андрей,54,13,1,2,2,-1,0,9,1
2023-04-02,Андрей,61,15,0,1,1,-1,1,8,0
2023-04-03,Андрей,53,14,1,1,1,1,2,7,0
2023-04-04,Андрей,76,21,1,4,1,1,0,4,1
2023-04-05,Андрей,79,13,0,4,1,1,2,8,0
2023-04-06,Андрей,59,13,1,3,3,1,1,3,0
2023-04-07,Андрей,76,11,1,3,4,-1,0,6,0
2023-04-08,Андрей,76,27,-1,4,1,1,2,11,0
2023-04-09,Андрей,73,12,1,2,1,-1,2,7,0
2023-04-10,Андрей,74,21,0,4,6,0,1,5,0
2023-04-11,Андрей,58,14,0,1,1,1,2,6,0
2023-04-12,Андрей,50,15,1,1,1,1,2,8,0
2023-04-13,Андрей,50,22,0,3,4,1,0,8,0
2023-04-14,Андрей,67,18,-1,4,3,1,2,6,0
