id сотрудника,Дата,Сотрудник,Частота сообщения,Объем сообщения,Настрой сообщения,Регулярность коммитов,Интенсивность коммитов,Статус задачи,Приоритетные изменения,Продолжительность активности,Активность ночью
1,2023-03-19,Вася,63,11,0,4,3,0,2,8,0
1,2023-03-20,Вася,59,25,1,4,4,1,2,5,0
1,2023-03-21,Вася,75,27,0,4,1,1,2,6,0
1,2023-03-22,Вася,62,14,1,1,4,1,1,7,1
1,2023-03-23,Вася,75,13,-1,2,1,1,1,5,0
1,2023-03-24,Вася,52,24,1,3,5,1,1,9,0
1,2023-03-25,Вася,68,28,1,2,2,1,0,5,0
1,2023-03-26,Вася,60,12,1,2,6,1,1,3,0
1,2023-03-27,Вася,70,14,0,3,3,1,1,7,0
1,2023-03-28,Вася,70,11,0,4,1,1,0,11,0
1,2023-03-29,Вася,57,17,1,3,1,1,0,7,0
1,2023-03-30,Вася,68,14,-1,2,4,1,2,11,0
1,2023-03-31,Вася,52,13,1,4,4,0,0,11,0
1,2023-04-01,Вася,76,19,1,4,5,1,2,7,0
1,2023-04-02,Вася,57,28,1,2,6,1,2,5,0
1,2023-04-03,Вася,52,19,1,1,1,1,2,8,0
1,2023-04-04,Вася,65,12,0,1,1,1,0,8,0
1,2023-04-05,Вася,63,12,0,2,4,1,0,11,0
1,2023-04-06,Вася,78,10,0,1,1,1,0,5,0
1,2023-04-07,Вася,62,18,0,1,4,1,1,9,0
1,2023-04-08,Вася,74,13,-1,2,1,0,0,10,0
1,2023-04-09,Вася,67,10,1,1,1,1,2,7,0
1,2023-04-10,Вася,54,10,1,1,1,0,1,9,0
1,2023-04-11,Вася,65,10,1,2,1,1,0,7,0
1,2023-04-12,Вася,59,26,1,4,5,0,0,8,0
1,2023-04-13,Вася,68,25,1,3,1,1,1,9,0
1,2023-04-14,Вася,53,27,1,1,1,1,2,6,0
1,2023-04-15,Вася,62,27,1,1,4,0,0,5,0
1,2023-04-16,Вася,54,12,1,2,1,1,1,7,0
1,2023-04-17,Вася,64,13,1,2,4,1,1,6,0
1,2023-04-18,Вася,78,18,0,3,1,1,1,8,0
1,2023-04-19,Вася,58,24,1,1,1,1,1,10,0
1,2023-04-20,Вася,51,26,0,1,1,1,0,8,0
1,2023-04-21,Вася,63,23,1,2,3,-1,0,8,0
1,2023-04-22,Вася,51,26,1,1,2,1,2,8,0
1,2023-04-23,Вася,55,29,0,3,1,0,0,10,0
1,2023-04-24,Вася,73,15,-1,3,2,1,2,10,0
1,2023-04-25,Вася,65,20,1,4,3,1,1,7,0
1,2023-04-26,Вася,67,19,0,4,4,1,0,12,0
1,2023-04-27,Вася,62,11,1,3,1,1,0,7,0
1,2023-04-28,Вася,51,17,0,2,2,1,2,9,0
1,2023-04-29,Вася,71,18,1,4,6,1,2,7,0
1,2023-04-30,Вася,72,11,1,3,5,1,0,5,1
1,2023-05-01,Вася,68,26,1,1,1,1,0,9,0
1,2023-05-02,Вася,67,18,1,2,2,1,1,14,0
1,2023-05-03,Вася,59,23,0,3,3,1,1,5,0
1,2023-05-04,Вася,58,14,0,1,1,1,1,8,0
1,2023-05-05,Вася,62,29,0,4,7,1,2,6,0
1,2023-05-06,Вася,63,17,-1,1,1,0,1,9,0
1,2023-05-07,Вася,54,18,1,3,1,1,0,7,0
1,2023-05-08,Вася,75,19,1,1,1,1,2,6,0
1,2023-05-09,Вася,68,19,0,3,2,1,1,10,0
1,2023-05-10,Вася,64,19,1,3,4,0,2,9,0
1,2023-05-11,Вася,70,29,1,1,3,1,1,5,0
1,2023-05-12,Вася,77,21,1,2,2,1,2,8,0
1,2023-05-13,Вася,51,20,1,2,3,-1,0,7,0
1,2023-05-14,Вася,63,21,1,2,3,1,2,8,0
1,2023-05-15,Вася,78,20,1,4,1,1,1,8,0
1,2023-05-16,Вася,58,29,1,3,1,0,0,12,0
1,2023-05-17,Вася,76,16,1,1,3,-1,0,8,0
1,2023-05-18,Вася,57,22,1,4,6,1,1,8,0
1,2023-05-19,Вася,74,21,0,2,2,1,2,7,1
1,2023-05-20,Вася,60,24,0,3,4,1,1,8,0
1,2023-05-21,Вася,59,21,1,1,1,1,0,5,0
1,2023-05-22,Вася,78,27,1,1,1,0,2,5,1
1,2023-05-23,Вася,66,12,0,1,1,1,2,6,0
1,2023-05-24,Вася,77,13,1,4,7,0,1,9,0
1,2023-05-25,Вася,67,22,1,1,2,0,2,11,0
1,2023-05-26,Вася,55,12,1,4,4,0,1,7,0
1,2023-05-27,Вася,54,13,1,3,3,0,1,7,0
1,2023-05-28,Вася,68,14,1,2,2,1,2,3,0
1,2023-05-29,Вася,70,10,1,4,5,1,2,6,0
1,2023-05-30,Вася,65,29,1,4,5,0,2,6,0
1,2023-05-31,Вася,51,20,1,2,1,1,1,8,0
1,2023-06-01,Вася,68,18,-1,4,4,0,2,10,0
1,2023-06-02,Вася,59,21,0,2,3,-1,2,7,0
1,2023-06-03,Вася,72,10,1,3,3,1,1,6,0
1,2023-06-04,Вася,50,16,0,2,1,1,2,8,0
1,2023-06-05,Вася,56,17,1,2,1,1,0,7,0
1,2023-06-06,Вася,74,22,0,4,6,1,2,10,0
1,2023-06-07,Вася,74,18,0,1,2,1,1,12,0
1,2023-06-08,Вася,57,28,1,4,5,1,0,8,0
1,2023-06-09,Вася,67,27,0,3,6,1,0,4,0
1,2023-06-10,Вася,78,20,1,1,1,1,1,6,0
1,2023-06-11,Вася,75,18,-1,4,3,1,0,8,0
1,2023-06-12,Вася,59,12,0,3,3,0,1,7,0
1,2023-06-13,Вася,55,25,1,1,1,1,0,5,0
1,2023-06-14,Вася,57,25,1,1,3,0,2,9,0
1,2023-06-15,Вася,74,24,0,2,1,1,2,9,0
1,2023-06-16,Вася,56,10,1,1,1,1,1,11,1
1,2023-06-17,Вася,62,10,-1,2,3,0,1,6,1
1,2023-06-18,Вася,65,13,-1,4,4,0,1,6,0
1,2023-06-19,Вася,61,29,1,1,1,1,1,4,0
1,2023-06-20,Вася,52,12,1,3,2,1,0,7,0
1,2023-06-21,Вася,75,12,1,4,1,0,2,6,0
1,2023-06-22,Вася,78,23,0,2,1,1,2,8,0
1,2023-06-23,Вася,67,17,1,2,1,1,2,7,0
1,2023-06-24,Вася,69,25,1,4,3,1,0,10,0
1,2023-06-25,Вася,55,25,1,4,3,0,0,8,0
1,2023-06-26,Вася,56,15,0,4,4,1,1,10,0
1,2023-06-27,Вася,64,29,1,3,2,1,1,7,0
1,2023-06-28,Вася,59,17,1,1,1,0,0,9,0
1,2023-06-29,Вася,50,19,0,4,3,1,1,8,0
1,2023-06-30,Вася,78,28,1,4,5,1,1,9,0
1,2023-07-01,Вася,57,10,1,3,4,-1,0,8,0
1,2023-07-02,Вася,55,19,-1,4,7,0,0,7,0
1,2023-07-03,Вася,58,19,1,1,1,-1,0,7,0
1,2023-07-04,Вася,58,29,1,3,4,1,1,9,0
1,2023-07-05,Вася,75,24,1,3,1,1,2,7,1
1,2023-07-06,Вася,75,23,1,3,3,1,2,7,0
1,2023-07-07,Вася,56,10,1,4,3,1,1,9,0
1,2023-07-08,Вася,52,13,1,3,1,1,1,6,0
1,2023-07-09,Вася,64,17,1,1,3,1,0,4,0
1,2023-07-10,Вася,51,24,1,4,4,-1,2,8,0
1,2023-07-11,Вася,68,11,1,2,2,1,0,10,1
1,2023-07-12,Вася,73,17,1,1,3,1,2,7,1
1,2023-07-13,Вася,73,13,1,3,1,1,0,5,0
1,2023-07-14,Вася,78,24,-1,4,5,1,1,6,0
1,2023-07-15,Вася,50,23,-1,1,1,1,1,6,0
1,2023-07-16,Вася,61,23,1,2,1,1,2,8,0
1,2023-07-17,Вася,65,24,1,2,3,1,0,10,1
1,2023-07-18,Вася,76,19,1,4,2,1,0,6,0
1,2023-07-19,Вася,51,14,1,4,1,1,1,10,0
1,2023-07-20,Вася,60,22,1,1,2,1,1,9,0
1,2023-07-21,Вася,67,27,0,3,3,0,0,5,0
1,2023-07-22,Вася,66,12,1,1,1,0,1,8,0
1,2023-07-23,Вася,55,23,1,4,5,-1,2,10,0
1,2023-07-24,Вася,74,27,1,1,4,1,1,8,1
1,2023-07-25,Вася,51,24,1,2,3,1,1,12,0
1,2023-07-26,Вася,75,12,-1,3,1,0,0,5,0
1,2023-07-27,Вася,54,13,1,1,3,1,1,6,0
1,2023-07-28,Вася,57,25,-1,2,2,1,0,7,1
1,2023-07-29,Вася,59,27,-1,1,1,0,1,6,0
1,2023-07-30,Вася,77,14,1,1,1,1,1,7,0
1,2023-07-31,Вася,53,18,1,2,2,0,1,9,0
1,2023-08-01,Вася,73,28,1,4,1,1,1,8,0
1,2023-08-02,Вася,60,11,0,1,3,-1,0,8,0
1,2023-08-03,Вася,67,19,1,1,2,1,1,11,0
1,2023-08-04,Вася,64,22,1,1,3,0,0,8,0
1,2023-08-05,Вася,53,27,1,2,1,1,2,12,0
1,2023-08-06,Вася,68,14,1,1,1,0,0,7,0
1,2023-08-07,Вася,53,11,0,3,1,0,2,8,0
1,2023-08-08,Вася,71,11,-1,2,1,0,1,8,0
1,2023-08-09,Вася,76,29,-1,3,2,1,2,4,0
1,2023-08-10,Вася,55,18,1,2,1,0,0,8,0
1,2023-08-11,Вася,50,28,1,2,2,1,2,5,1
1,2023-08-12,Вася,78,25,0,2,1,1,0,6,1
1,2023-08-13,Вася,53,11,1,4,7,1,0,4,0
1,2023-08-14,Вася,59,13,1,4,4,1,2,7,0
1,2023-08-15,Вася,79,28,1,3,3,1,1,6,0
1,2023-08-16,Вася,77,27,0,3,4,1,1,8,1
1,2023-08-17,Вася,73,12,1,2,1,-1,1,9,0
1,2023-08-18,Вася,64,25,-1,4,1,1,1,7,0
1,2023-08-19,Вася,73,25,1,1,1,1,0,7,1
1,2023-08-20,Вася,71,17,0,3,2,1,2,8,0
1,2023-08-21,Вася,60,22,0,3,1,1,2,8,0
1,2023-08-22,Вася,61,19,0,2,4,-1,0,5,0
1,2023-08-23,Вася,54,18,1,1,1,1,2,5,0
1,2023-08-24,Вася,57,12,1,3,1,1,2,5,0
1,2023-08-25,Вася,52,28,1,1,1,-1,2,7,0
1,2023-08-26,Вася,60,11,0,4,4,1,2,8,0
1,2023-08-27,Вася,51,17,0,3,3,1,2,6,0
1,2023-08-28,Вася,66,10,1,1,1,1,1,3,0
1,2023-08-29,Вася,52,13,1,4,6,0,0,7,0
1,2023-08-30,Вася,59,28,1,4,3,1,1,7,0
1,2023-08-31,Вася,65,24,1,3,1,1,0,7,0
1,2023-09-01,Вася,51,23,1,3,2,1,2,10,0
1,2023-09-02,Вася,57,11,0,3,1,1,0,9,0
1,2023-09-03,Вася,53,16,1,3,1,1,2,9,1
1,2023-09-04,Вася,53,17,1,2,5,1,1,4,0
1,2023-09-05,Вася,56,18,1,3,5,1,0,7,0
1,2023-09-06,Вася,77,21,1,3,1,1,0,5,0
1,2023-09-07,Вася,79,14,1,1,4,1,0,4,0
1,2023-09-08,Вася,59,11,1,2,1,0,2,8,0
1,2023-09-09,Вася,64,28,0,4,5,1,0,8,0
1,2023-09-10,Вася,75,24,1,3,1,1,1,8,0
1,2023-09-11,Вася,56,26,0,2,2,0,2,7,0
1,2023-09-12,Вася,52,15,1,4,6,0,2,4,0
1,2023-09-13,Вася,54,17,0,1,5,-1,1,8,0
1,2023-09-14,Вася,73,20,1,3,5,-1,2,11,0
1,2023-09-15,Вася,53,14,1,1,1,1,1,9,1
1,2023-09-16,Вася,74,22,1,2,1,1,2,5,0
1,2023-09-17,Вася,67,17,1,4,3,0,1,9,0
1,2023-09-18,Вася,51,13,0,2,3,1,1,10,0
1,2023-09-19,Вася,69,15,1,3,1,-1,2,9,1
1,2023-09-20,Вася,53,18,1,4,4,1,1,9,0
1,2023-09-21,Вася,74,16,1,1,1,0,1,7,0
1,2023-09-22,Вася,74,28,0,3,4,0,0,10,0
1,2023-09-23,Вася,51,19,1,3,2,-1,2,10,0
1,2023-09-24,Вася,68,24,1,3,1,1,1,6,0
1,2023-09-25,Вася,74,13,1,4,2,1,1,7,0
1,2023-09-26,Вася,65,25,0,1,1,0,2,9,0
1,2023-09-27,Вася,73,10,-1,1,1,1,1,7,0
1,2023-09-28,Вася,72,15,1,4,4,1,0,8,0
1,2023-09-29,Вася,75,28,1,3,2,0,2,7,0
1,2023-09-30,Вася,62,19,-1,4,3,1,1,8,0
1,2023-10-01,Вася,57,11,1,2,1,0,0,10,0
1,2023-10-02,Вася,58,12,1,2,5,1,0,9,0
1,2023-10-03,Вася,74,18,1,1,3,1,2,5,0
1,2023-10-04,Вася,70,20,1,3,5,1,0,4,1
1,2023-10-05,Вася,77,17,1,4,1,1,0,8,0
1,2023-10-06,Вася,63,24,0,4,6,1,2,9,0
1,2023-10-07,Вася,60,13,1,4,5,1,1,7,0
1,2023-10-08,Вася,67,18,0,2,3,-1,2,5,0
1,2023-10-09,Вася,59,10,1,4,1,1,0,10,0
1,2023-10-10,Вася,68,13,1,3,3,1,1,10,0
1,2023-10-11,Вася,71,13,0,3,5,1,2,10,0
1,2023-10-12,Вася,59,13,1,4,5,0,2,10,0
1,2023-10-13,Вася,78,19,1,2,1,1,0,5,0
1,2023-10-14,Вася,71,12,1,2,5,1,2,7,0
1,2023-10-15,Вася,61,18,-1,2,1,1,1,5,0
1,2023-10-16,Вася,57,17,1,1,1,1,1,6,0
1,2023-10-17,Вася,63,26,-1,2,4,1,1,9,0
1,2023-10-18,Вася,63,16,-1,2,1,1,2,7,0
1,2023-10-19,Вася,55,23,1,2,1,1,0,9,0
1,2023-10-20,Вася,77,25,1,1,1,0,0,7,0
1,2023-10-21,Вася,62,21,1,3,2,1,1,6,0
1,2023-10-22,Вася,54,12,0,4,7,1,1,8,0
1,2023-10-23,Вася,65,12,0,1,1,1,1,7,0
1,2023-10-24,Вася,62,11,1,4,5,1,1,5,0
1,2023-10-25,Вася,50,26,1,2,4,1,2,8,0
1,2023-10-26,Вася,67,21,1,4,5,1,0,6,0
1,2023-10-27,Вася,79,11,1,1,3,1,1,9,0
1,2023-10-28,Вася,75,29,-1,4,3,1,1,8,0
1,2023-10-29,Вася,73,14,0,2,1,1,1,7,0
1,2023-10-30,Вася,67,15,1,2,4,0,1,8,0
1,2023-10-31,Вася,69,13,-1,1,1,1,1,6,0
1,2023-11-01,Вася,66,13,1,4,4,0,0,3,0
1,2023-11-02,Вася,69,27,-1,1,3,1,0,11,0
1,2023-11-03,Вася,74,19,0,3,8,1,0,6,1
1,2023-11-04,Вася,63,16,0,1,1,1,1,7,0
1,2023-11-05,Вася,67,17,1,2,1,1,2,8,0
1,2023-11-06,Вася,62,23,1,4,5,-1,1,10,0
1,2023-11-07,Вася,65,20,1,1,1,0,0,7,0
1,2023-11-08,Вася,51,19,1,4,3,1,2,10,0
1,2023-11-09,Вася,69,24,1,3,2,1,1,5,0
1,2023-11-10,Вася,55,20,1,1,1,1,0,8,0
1,2023-11-11,Вася,79,14,1,4,6,1,2,9,0
1,2023-11-12,Вася,77,26,1,1,1,1,2,7,0
1,2023-11-13,Вася,62,20,-1,2,1,-1,0,13,0
1,2023-11-14,Вася,73,25,0,3,1,1,2,8,0
1,2023-11-15,Вася,56,18,0,2,3,1,0,8,1
1,2023-11-16,Вася,76,26,1,4,2,1,2,8,0
1,2023-11-17,Вася,77,20,-1,3,2,1,1,5,0
1,2023-11-18,Вася,72,15,1,1,1,1,2,6,0
1,2023-11-19,Вася,73,25,0,2,1,1,0,5,0
1,2023-11-20,Вася,57,19,1,2,4,0,1,7,0
1,2023-11-21,Вася,72,12,1,3,3,1,0,11,0
1,2023-11-22,Вася,75,17,1,3,1,1,1,6,0
1,2023-11-23,Вася,67,21,0,4,4,1,2,6,0
1,2023-11-24,Вася,63,23,1,3,2,0,0,7,1
1,2023-11-25,Вася,60,12,1,1,2,0,2,9,0
1,2023-11-26,Вася,74,15,0,1,1,1,1,11,0
1,2023-11-27,Вася,79,21,1,3,1,1,1,8,0
1,2023-11-28,Вася,62,29,1,1,6,1,0,4,0
1,2023-11-29,Вася,66,19,1,4,7,1,2,8,0
1,2023-11-30,Вася,65,24,1,2,1,0,0,9,0
1,2023-12-01,Вася,66,13,-1,2,7,0,0,8,0
1,2023-12-02,Вася,71,22,0,2,1,1,0,12,0
1,2023-12-03,Вася,72,14,1,4,1,1,0,9,0
1,2023-12-04,Вася,70,10,1,3,1,1,0,10,0
1,2023-12-05,Вася,64,28,1,1,1,1,0,6,0
1,2023-12-06,Вася,79,14,1,1,1,1,2,7,0
1,2023-12-07,Вася,51,15,1,3,1,0,0,9,0
1,2023-12-08,Вася,72,19,-1,4,5,0,2,4,0
1,2023-12-09,Вася,56,12,-1,2,2,1,1,8,1
1,2023-12-10,Вася,73,11,1,3,4,1,0,8,1
1,2023-12-11,Вася,75,27,1,3,3,0,1,7,0
1,2023-12-12,Вася,58,20,1,3,1,0,0,7,0
1,2023-12-13,Вася,55,28,-1,4,1,1,1,7,0
1,2023-12-14,Вася,70,10,1,1,1,1,2,6,0
1,2023-12-15,Вася,56,15,1,3,6,1,0,8,0
1,2023-12-16,Вася,67,26,1,3,5,0,0,6,1
1,2023-12-17,Вася,57,18,-1,2,3,1,2,6,1
1,2023-12-18,Вася,73,15,1,1,1,-1,2,8,0
1,2023-12-19,Вася,54,17,1,4,3,1,1,8,0
1,2023-12-20,Вася,58,11,0,2,1,1,1,8,0
1,2023-12-21,Вася,62,13,1,3,6,1,1,7,0
1,2023-12-22,Вася,54,24,1,1,1,1,2,9,0
1,2023-12-23,Вася,76,13,1,4,4,1,1,8,0
1,2023-12-24,Вася,50,26,1,4,6,0,1,1,0
1,2023-12-25,Вася,78,17,1,1,1,1,1,7,0
1,2023-12-26,Вася,70,28,1,2,1,1,0,7,0
1,2023-12-27,Вася,71,28,1,4,5,0,0,10,0
1,2023-12-28,Вася,56,20,1,4,1,1,0,8,0
1,2023-12-29,Вася,73,10,0,1,1,-1,2,6,0
1,2023-12-30,Вася,58,29,1,4,6,1,1,9,0
1,2023-12-31,Вася,52,20,0,4,1,1,0,7,0
2,2023-01-01,Андрей,60,23,1,2,1,0,2,8,0
2,2023-01-02,Андрей,69,17,1,1,1,-1,1,9,1
2,2023-01-03,Андрей,62,10,1,3,3,0,0,8,0
2,2023-01-04,Андрей,65,20,1,4,1,1,2,10,0
2,2023-01-05,Андрей,70,19,-1,4,3,1,0,7,0
2,2023-01-06,Андрей,50,26,1,4,3,1,2,7,0
2,2023-01-07,Андрей,68,13,1,2,5,1,0,6,0
2,2023-01-08,Андрей,63,23,0,2,1,1,0,7,0
2,2023-01-09,Андрей,55,10,1,1,1,1,2,10,0
2,2023-01-10,Андрей,57,22,1,3,1,1,0,11,1
2,2023-01-11,Андрей,56,14,0,2,1,1,1,5,0
2,2023-01-12,Андрей,78,28,1,4,2,1,2,11,0
2,2023-01-13,Андрей,66,24,1,4,1,-1,2,6,0
2,2023-01-14,Андрей,63,14,0,1,1,0,2,9,1
2,2023-01-15,Андрей,64,24,0,2,1,1,0,6,0
2,2023-01-16,Андрей,61,21,1,2,3,1,2,5,0
2,2023-01-17,Андрей,66,17,0,2,1,1,0,5,0
2,2023-01-18,Андрей,71,25,1,1,1,1,0,7,1
2,2023-01-19,Андрей,58,10,0,1,1,1,2,8,0
2,2023-01-20,Андрей,68,28,1,4,8,1,2,5,0
2,2023-01-21,Андрей,72,16,1,1,4,1,1,10,0
2,2023-01-22,Андрей,69,14,1,1,3,1,1,7,0
2,2023-01-23,Андрей,52,25,1,3,7,1,1,4,0
2,2023-01-24,Андрей,61,14,1,4,2,1,0,7,0
2,2023-01-25,Андрей,75,14,-1,1,1,1,2,11,0
2,2023-01-26,Андрей,73,28,1,1,2,1,2,10,0
2,2023-01-27,Андрей,54,13,1,1,2,0,2,10,0
2,2023-01-28,Андрей,67,21,1,3,2,1,1,10,0
2,2023-01-29,Андрей,64,15,1,1,1,1,2,8,0
2,2023-01-30,Андрей,52,23,1,3,5,1,0,7,0
2,2023-01-31,Андрей,53,13,-1,3,3,0,1,10,0
2,2023-02-01,Андрей,71,28,1,2,1,1,0,9,0
2,2023-02-02,Андрей,76,13,0,4,4,1,0,8,0
2,2023-02-03,Андрей,63,11,1,2,3,1,2,9,0
2,2023-02-04,Андрей,74,18,0,4,3,1,2,10,0
2,2023-02-05,Андрей,72,14,0,4,6,1,1,6,0
2,2023-02-06,Андрей,78,13,-1,2,1,1,2,7,1
2,2023-02-07,Андрей,60,11,0,2,1,1,0,4,0
2,2023-02-08,Андрей,57,27,-1,4,3,1,2,6,0
2,2023-02-09,Андрей,55,25,0,3,4,-1,1,7,0
2,2023-02-10,Андрей,69,27,1,2,1,0,2,9,0
2,2023-02-11,Андрей,54,28,1,3,1,0,1,3,0
2,2023-02-12,Андрей,69,26,1,1,1,0,1,6,0
2,2023-02-13,Андрей,70,27,0,4,5,1,0,9,0
2,2023-02-14,Андрей,65,21,-1,1,1,1,2,9,0
2,2023-02-15,Андрей,53,14,1,2,1,1,0,8,0
2,2023-02-16,Андрей,52,26,0,2,3,1,1,7,0
2,2023-02-17,Андрей,63,14,1,3,6,1,2,4,0
2,2023-02-18,Андрей,77,22,1,1,1,0,2,8,0
2,2023-02-19,Андрей,64,28,1,4,1,1,2,6,0
2,2023-02-20,Андрей,74,18,1,2,2,0,0,9,0
2,2023-02-21,Андрей,69,17,1,3,5,1,1,6,0
2,2023-02-22,Андрей,71,11,0,2,3,1,2,10,0
2,2023-02-23,Андрей,56,14,1,2,1,1,0,8,0
2,2023-02-24,Андрей,65,22,1,1,1,1,1,8,0
2,2023-02-25,Андрей,66,19,1,2,3,1,2,10,0
2,2023-02-26,Андрей,58,26,1,3,1,-1,1,9,0
2,2023-02-27,Андрей,78,19,1,4,4,1,0,8,0
2,2023-02-28,Андрей,78,13,0,2,2,1,0,11,0
2,2023-03-01,Андрей,77,17,1,1,2,1,0,10,0
2,2023-03-02,Андрей,68,17,1,2,1,1,0,7,0
2,2023-03-03,Андрей,78,20,1,2,1,-1,0,10,0
2,2023-03-04,Андрей,56,24,1,3,2,1,2,12,0
2,2023-03-05,Андрей,58,20,1,3,1,1,2,10,0
2,2023-03-06,Андрей,69,28,1,2,1,1,1,8,0
2,2023-03-07,Андрей,79,19,1,1,5,1,0,7,0
2,2023-03-08,Андрей,73,28,1,1,1,0,2,6,0
2,2023-03-09,Андрей,73,11,1,3,1,1,1,7,0
2,2023-03-10,Андрей,73,21,1,3,3,1,1,12,0
2,2023-03-11,Андрей,70,21,1,1,1,1,2,6,0
2,2023-03-12,Андрей,50,20,1,1,1,0,0,6,0
2,2023-03-13,Андрей,64,29,1,4,2,1,0,5,0
2,2023-03-14,Андрей,75,22,1,4,4,0,0,8,0
2,2023-03-15,Андрей,62,14,1,2,1,1,0,6,0
2,2023-03-16,Андрей,78,26,1,2,4,0,0,5,1
